slug,name,akc_group,size_band,min_kg,max_kg,min_lb,max_lb,min_lifespan_years,max_lifespan_years,midpoint_kg,daily_kcal_neutered_adult_at_midpoint
basset-hound,Basset Hound,Hound,medium,18.1,29.5,39.9,65,12,13,23.8,1207
bavarian-mountain-scent-hound,Bavarian Mountain Scent Hound,Foundation Stock Service,medium,16.8,29.9,37,65.9,12,15,23.35,1190
beagle,Beagle,Hound,small,5.9,13.6,13,30,10,15,9.75,618
bearded-collie,Bearded Collie,Herding,medium,20.4,24.9,45,54.9,12,14,22.65,1163
beauceron,Beauceron,Herding,large,31.8,49.9,70.1,110,10,12,40.85,1810
bedlington-terrier,Bedlington Terrier,Terrier,small,7.7,10.4,17,22.9,11,16,9.05,584
belgian-laekenois,Belgian Laekenois,Miscellaneous Class,large,24.9,29.5,54.9,65,10,12,27.2,1334
belgian-malinois,Belgian Malinois,Herding,large,18.1,36.3,39.9,80,14,16,27.2,1334
belgian-sheepdog,Belgian Sheepdog,Herding,large,20.4,34,45,75,12,14,27.2,1334
belgian-tervuren,Belgian Tervuren,Herding,large,20.4,34,45,75,12,14,27.2,1334
bergamasco-sheepdog,Bergamasco Sheepdog,Herding,large,25.9,38.1,57.1,84,13,15,32,1507
berger-picard,Berger Picard,Herding,large,22.7,31.8,50,70.1,12,13,27.25,1336
bernese-mountain-dog,Bernese Mountain Dog,Working,large,31.8,52.2,70.1,115.1,7,10,42,1848
bichon-frise,Bichon Frise,Non-Sporting,small,5.4,8.2,11.9,18.1,14,15,6.8,472
biewer-terrier,Biewer Terrier,Miscellaneous Class,toy,1.8,3.6,4,7.9,16,16,2.7,236
black-russian-terrier,Black Russian Terrier,Working,giant,36.3,59,80,130.1,10,12,47.65,2031
black-and-tan-coonhound,Black and Tan Coonhound,Hound,large,29.5,49.9,65,110,10,12,39.7,1771
bloodhound,Bloodhound,Hound,large,36.3,49.9,80,110,10,12,43.1,1884
bluetick-coonhound,Bluetick Coonhound,Hound,large,20.4,36.3,45,80,11,12,28.35,1376
boerboel,Boerboel,Working,giant,68,90.7,149.9,200,9,11,79.35,2978
bohemian-shepherd,Bohemian Shepherd,Foundation Stock Service,medium,16.8,27.2,37,60,12,15,22,1138
bolognese,Bolognese,Foundation Stock Service,toy,2.5,4.1,5.5,9,12,14,3.3,274
border-collie,Border Collie,Herding,medium,13.6,24.9,30,54.9,12,15,19.25,1029
border-terrier,Border Terrier,Terrier,small,5.2,7,11.5,15.4,12,15,6.1,435
borzoi,Borzoi,Hound,large,27.2,47.6,60,104.9,9,14,37.4,1694
boston-terrier,Boston Terrier,Non-Sporting,small,5.4,11.3,11.9,24.9,11,13,8.35,550
bouvier-des-flandres,Bouvier des Flandres,Herding,large,31.8,49.9,70.1,110,10,12,40.85,1810
boxer,Boxer,Working,medium,6.8,36.3,15,80,10,12,21.55,1120
boykin-spaniel,Boykin Spaniel,Sporting,medium,11.3,18.1,24.9,39.9,10,15,14.7,841
bracco-italiano,Bracco Italiano,Miscellaneous Class,large,24.9,40.8,54.9,89.9,10,14,32.85,1537
braque-francais-pyrenean,Braque Francais Pyrenean,Foundation Stock Service,medium,18.1,24.9,39.9,54.9,,,21.5,1118
braque-du-bourbonnais,Braque du Bourbonnais,Foundation Stock Service,medium,15.9,24,35.1,52.9,10,12,19.95,1057
briard,Briard,Herding,large,24.9,45.4,54.9,100.1,12,12,35.15,1617
brittany,Brittany,Sporting,medium,13.6,18.1,30,39.9,12,14,15.85,890
broholmer,Broholmer,Foundation Stock Service,giant,40.8,68,89.9,149.9,8,10,54.4,2243
brussels-griffon,Brussels Griffon,Toy,toy,3.6,4.5,7.9,9.9,12,15,4.05,320
bull-terrier,Bull Terrier,Terrier,large,22.7,31.8,50,70.1,12,13,27.25,1336
bulldog,Bulldog,Non-Sporting,medium,18.1,22.7,39.9,50,8,10,20.4,1075
bullmastiff,Bullmastiff,Working,giant,45.4,59,100.1,130.1,7,9,52.2,2175
cairn-terrier,Cairn Terrier,Terrier,small,5.9,6.4,13,14.1,13,15,6.15,437
canaan-dog,Canaan Dog,Herding,medium,15.9,24.9,35.1,54.9,12,15,20.4,1075
cardigan-welsh-corgi,Cardigan Welsh Corgi,Herding,medium,11.3,17.2,24.9,37.9,12,15,14.25,821
carolina-dog,Carolina Dog,Foundation Stock Service,medium,13.6,24.9,30,54.9,,,19.25,1029
catahoula-leopard-dog,Catahoula Leopard Dog,Foundation Stock Service,large,22.7,43.1,50,95,10,14,32.9,1539
caucasian-shepherd-dog,Caucasian Shepherd Dog,Foundation Stock Service,giant,44.9,77.1,99,170,10,12,61,2445
cavalier-king-charles-spaniel,Cavalier King Charles Spaniel,Toy,small,5.9,8.2,13,18.1,12,15,7.05,485
central-asian-shepherd-dog,Central Asian Shepherd Dog,Foundation Stock Service,large,39.9,49.9,88,110,,,44.9,1943
cesky-terrier,Cesky Terrier,Terrier,small,6.4,10.9,14.1,24,12,15,8.65,565
chesapeake-bay-retriever,Chesapeake Bay Retriever,Sporting,large,24.9,36.3,54.9,80,10,13,30.6,1457
chihuahua,Chihuahua,Toy,toy,2.7,2.7,6,6,14,16,2.7,236
chinese-crested,Chinese Crested,Toy,toy,3.6,5.4,7.9,11.9,13,18,4.5,346
chinese-shar-pei,Chinese Shar-Pei,Non-Sporting,medium,20.4,27.2,45,60,8,12,23.8,1207
chinook,Chinook,Working,large,22.7,40.8,50,89.9,12,15,31.75,1498
chow-chow,Chow Chow,Non-Sporting,large,20.4,31.8,45,70.1,8,12,26.1,1293
cirneco-dell-etna,Cirneco dell’Etna,Hound,small,7.7,11.8,17,26,12,14,9.75,618
clumber-spaniel,Clumber Spaniel,Sporting,large,24.9,38.6,54.9,85.1,10,12,31.75,1498
cocker-spaniel,Cocker Spaniel,Sporting,small,9.1,13.6,20.1,30,10,14,11.35,693
collie,Collie,Herding,large,22.7,34,50,75,12,14,28.35,1376
coton-de-tulear,Coton de Tulear,Non-Sporting,small,3.6,6.8,7.9,15,15,19,5.2,386
croatian-sheepdog,Croatian Sheepdog,Foundation Stock Service,medium,13.2,20,29.1,44.1,13,14,16.6,921
curly-coated-retriever,Curly-Coated Retriever,Sporting,large,27.2,43.1,60,95,10,12,35.15,1617
czechoslovakian-vlcak,Czechoslovakian Vlcak,Foundation Stock Service,medium,20,25.9,44.1,57.1,10,15,22.95,1174
dachshund,Dachshund,Hound,small,5,14.5,11,32,12,16,9.75,618
dalmatian,Dalmatian,Non-Sporting,large,20.4,31.8,45,70.1,11,13,26.1,1293
dandie-dinmont-terrier,Dandie Dinmont Terrier,Terrier,small,8.2,10.9,18.1,24,12,15,9.55,608
danish-swedish-farmdog,Danish-Swedish Farmdog,Foundation Stock Service,small,6.8,9.1,15,20.1,11,13,7.95,530
deutscher-wachtelhund,Deutscher Wachtelhund,Foundation Stock Service,medium,18.1,24.9,39.9,54.9,12,14,21.5,1118
doberman-pinscher,Doberman Pinscher,Working,large,27.2,45.4,60,100.1,10,12,36.3,1656
