cpu_slug,cpu,gpu_slug,gpu,continuous_watts,computed_psu_watts,vendor_recommended_psu_watts,recommended_psu_watts,binding_constraint,recommended_from_tdp_watts,sizes_missed_by_tdp,load_fraction_at_recommended,headroom_watts
core-i7-14700k,Core i7-14700K,rtx-4070-super,GeForce RTX 4070 SUPER,517,650,650,650,agree,500,3,0.795,133
core-i7-14700k,Core i7-14700K,rtx-3070,GeForce RTX 3070,517,650,650,650,agree,500,3,0.795,133
core-i7-14700k,Core i7-14700K,rx-9070,Radeon RX 9070,517,650,650,650,agree,500,3,0.795,133
core-i7-14700k,Core i7-14700K,rtx-4070,GeForce RTX 4070,497,650,650,650,agree,500,3,0.765,153
core-i7-14700k,Core i7-14700K,rtx-3060-ti,GeForce RTX 3060 Ti,497,650,600,650,build,500,3,0.765,153
core-i7-14700k,Core i7-14700K,rtx-5060-ti,GeForce RTX 5060 Ti,477,600,600,600,agree,450,3,0.795,123
core-i7-14700k,Core i7-14700K,rtx-3060,GeForce RTX 3060,467,600,550,600,build,450,3,0.778,133
core-i7-14700k,Core i7-14700K,rtx-4060-ti,GeForce RTX 4060 Ti,462,600,550,600,build,450,3,0.77,138
core-i7-14700k,Core i7-14700K,rx-7600,Radeon RX 7600,462,600,550,600,build,450,3,0.77,138
core-i7-14700k,Core i7-14700K,rx-9060-xt,Radeon RX 9060 XT,457,600,550,600,build,450,3,0.762,143
core-i7-14700k,Core i7-14700K,rtx-5060,GeForce RTX 5060,442,600,550,600,build,450,3,0.737,158
core-i7-14700k,Core i7-14700K,rtx-5050,GeForce RTX 5050,427,550,550,550,agree,450,2,0.776,123
core-i7-14700k,Core i7-14700K,rtx-3050,GeForce RTX 3050,427,550,550,550,agree,450,2,0.776,123
core-i7-14700k,Core i7-14700K,rtx-4060,GeForce RTX 4060,412,550,550,550,agree,450,2,0.749,138
core-i9-13900k,Core i9-13900K,rtx-5090,GeForce RTX 5090,872,1200,1000,1200,build,1000,1,0.727,328
core-i9-13900k,Core i9-13900K,rtx-4090,GeForce RTX 4090,747,1000,850,1000,build,800,2,0.747,253
core-i9-13900k,Core i9-13900K,rtx-3090-ti,GeForce RTX 3090 Ti,747,1000,850,1000,build,800,2,0.747,253
core-i9-13900k,Core i9-13900K,rtx-5080,GeForce RTX 5080,657,850,850,850,agree,700,3,0.773,193
core-i9-13900k,Core i9-13900K,rx-7900-xtx,Radeon RX 7900 XTX,652,850,800,850,build,700,3,0.767,198
core-i9-13900k,Core i9-13900K,rtx-3090,GeForce RTX 3090,647,850,750,850,build,650,4,0.761,203
core-i9-13900k,Core i9-13900K,rtx-3080-ti,GeForce RTX 3080 Ti,647,850,750,850,build,650,4,0.761,203
core-i9-13900k,Core i9-13900K,rtx-3080,GeForce RTX 3080,647,850,750,850,build,650,4,0.761,203
core-i9-13900k,Core i9-13900K,rtx-4080-super,GeForce RTX 4080 SUPER,617,800,750,800,build,650,3,0.771,183
core-i9-13900k,Core i9-13900K,rtx-4080,GeForce RTX 4080,617,800,750,800,build,650,3,0.771,183
core-i9-13900k,Core i9-13900K,rx-7900-xt,Radeon RX 7900 XT,612,800,750,800,build,650,3,0.765,188
core-i9-13900k,Core i9-13900K,rx-9070-xt,Radeon RX 9070 XT,601,800,750,800,build,600,4,0.751,199
core-i9-13900k,Core i9-13900K,rtx-5070-ti,GeForce RTX 5070 Ti,597,750,750,750,agree,600,3,0.796,153
core-i9-13900k,Core i9-13900K,rtx-3070-ti,GeForce RTX 3070 Ti,587,750,650,750,build,600,3,0.783,163
core-i9-13900k,Core i9-13900K,rtx-4070-ti-super,GeForce RTX 4070 Ti SUPER,582,750,700,750,build,600,3,0.776,168
core-i9-13900k,Core i9-13900K,rtx-4070-ti,GeForce RTX 4070 Ti,582,750,700,750,build,600,3,0.776,168
core-i9-13900k,Core i9-13900K,rx-7800-xt,Radeon RX 7800 XT,560,700,700,700,agree,550,3,0.8,140
core-i9-13900k,Core i9-13900K,rx-7900-gre,Radeon RX 7900 GRE,557,700,700,700,agree,550,3,0.796,143
core-i9-13900k,Core i9-13900K,rtx-5070,GeForce RTX 5070,547,700,650,700,build,550,3,0.781,153
core-i9-13900k,Core i9-13900K,rx-7700-xt,Radeon RX 7700 XT,542,700,700,700,agree,550,3,0.774,158
core-i9-13900k,Core i9-13900K,rtx-4070-super,GeForce RTX 4070 SUPER,517,650,650,650,agree,500,3,0.795,133
core-i9-13900k,Core i9-13900K,rtx-3070,GeForce RTX 3070,517,650,650,650,agree,500,3,0.795,133
core-i9-13900k,Core i9-13900K,rx-9070,Radeon RX 9070,517,650,650,650,agree,500,3,0.795,133
core-i9-13900k,Core i9-13900K,rtx-4070,GeForce RTX 4070,497,650,650,650,agree,500,3,0.765,153
core-i9-13900k,Core i9-13900K,rtx-3060-ti,GeForce RTX 3060 Ti,497,650,600,650,build,500,3,0.765,153
core-i9-13900k,Core i9-13900K,rtx-5060-ti,GeForce RTX 5060 Ti,477,600,600,600,agree,450,3,0.795,123
core-i9-13900k,Core i9-13900K,rtx-3060,GeForce RTX 3060,467,600,550,600,build,450,3,0.778,133
core-i9-13900k,Core i9-13900K,rtx-4060-ti,GeForce RTX 4060 Ti,462,600,550,600,build,450,3,0.77,138
core-i9-13900k,Core i9-13900K,rx-7600,Radeon RX 7600,462,600,550,600,build,450,3,0.77,138
core-i9-13900k,Core i9-13900K,rx-9060-xt,Radeon RX 9060 XT,457,600,550,600,build,450,3,0.762,143
core-i9-13900k,Core i9-13900K,rtx-5060,GeForce RTX 5060,442,600,550,600,build,450,3,0.737,158
core-i9-13900k,Core i9-13900K,rtx-5050,GeForce RTX 5050,427,550,550,550,agree,450,2,0.776,123
core-i9-13900k,Core i9-13900K,rtx-3050,GeForce RTX 3050,427,550,550,550,agree,450,2,0.776,123
core-i9-13900k,Core i9-13900K,rtx-4060,GeForce RTX 4060,412,550,550,550,agree,450,2,0.749,138
core-i9-14900k,Core i9-14900K,rtx-5090,GeForce RTX 5090,872,1200,1000,1200,build,1000,1,0.727,328
core-i9-14900k,Core i9-14900K,rtx-4090,GeForce RTX 4090,747,1000,850,1000,build,800,2,0.747,253
core-i9-14900k,Core i9-14900K,rtx-3090-ti,GeForce RTX 3090 Ti,747,1000,850,1000,build,800,2,0.747,253
core-i9-14900k,Core i9-14900K,rtx-5080,GeForce RTX 5080,657,850,850,850,agree,700,3,0.773,193
core-i9-14900k,Core i9-14900K,rx-7900-xtx,Radeon RX 7900 XTX,652,850,800,850,build,700,3,0.767,198
core-i9-14900k,Core i9-14900K,rtx-3090,GeForce RTX 3090,647,850,750,850,build,650,4,0.761,203
core-i9-14900k,Core i9-14900K,rtx-3080-ti,GeForce RTX 3080 Ti,647,850,750,850,build,650,4,0.761,203
core-i9-14900k,Core i9-14900K,rtx-3080,GeForce RTX 3080,647,850,750,850,build,650,4,0.761,203
core-i9-14900k,Core i9-14900K,rtx-4080-super,GeForce RTX 4080 SUPER,617,800,750,800,build,650,3,0.771,183
core-i9-14900k,Core i9-14900K,rtx-4080,GeForce RTX 4080,617,800,750,800,build,650,3,0.771,183
core-i9-14900k,Core i9-14900K,rx-7900-xt,Radeon RX 7900 XT,612,800,750,800,build,650,3,0.765,188
core-i9-14900k,Core i9-14900K,rx-9070-xt,Radeon RX 9070 XT,601,800,750,800,build,600,4,0.751,199
core-i9-14900k,Core i9-14900K,rtx-5070-ti,GeForce RTX 5070 Ti,597,750,750,750,agree,600,3,0.796,153
core-i9-14900k,Core i9-14900K,rtx-3070-ti,GeForce RTX 3070 Ti,587,750,650,750,build,600,3,0.783,163
core-i9-14900k,Core i9-14900K,rtx-4070-ti-super,GeForce RTX 4070 Ti SUPER,582,750,700,750,build,600,3,0.776,168
